pdb_file,average_perplexity
600,4.123909433505397
601,4.371839451185256
602,4.229185440162754
603,4.29945420303509
604,4.310915769780329
605,4.0701104103297965
606,3.9790228539867183
607,4.198002575873003
608,4.230643799592245
609,4.0669786447484215
610,4.073809786923729
611,4.125376799371833
612,4.17136442897651
613,4.2105318606989695
614,4.111261817681527
615,4.379268723031269
616,4.148118709859601
617,4.295208283963988
618,4.226881005864521
619,4.3539883185783586
620,4.178043914018634
621,4.049731053587707
622,4.282438969057407
623,4.1330281878232045
624,4.2241259895130465
625,4.083726220361803
626,4.201322507659771
627,4.189091174492719
628,4.124166680130591
629,4.281430112101301
630,4.243208661017424
631,4.098797016281292
632,4.223318117102786
633,4.082503911022234
634,4.1185993608343345
635,4.247092071050604
636,4.1812155310605466
637,4.213871101461179
638,3.9963700491971834
639,4.199912154059549
640,4.358997301475201
641,4.459802236728119
642,4.11303204844567
643,4.282174907010468
644,4.230399635214245
645,4.044972717521381
646,4.298296689448462
647,4.231069874463104
648,4.202864766216576
649,4.291182914724634
650,4.219439360977919
651,4.177842503908588
652,4.284112865812291
653,4.217191791544796
654,4.291678290143216
655,4.323354695466755
656,3.9854215091737646
657,4.227879822881996
658,4.440327804443922
659,4.379509185842175
660,4.289897378604876
661,4.288769880519029
662,4.411442249362135
663,4.287241846533264
664,4.243928140294496
665,4.198184666171896
666,4.262917344154436
667,4.222644364425366
668,4.4323215327256955
669,4.167399156773697
670,4.155141848262583
671,4.120743411612002
672,4.188165613819563
673,4.1323035109029504
674,4.277422267479086
675,4.0455807278829905
676,4.284695807237358
677,4.286796710820731
678,4.060256552765375
679,4.289034747916495
680,4.160668453169366
681,4.5091999409891805
682,3.981398433416349
683,4.278520836852877
684,4.137457572403045
685,4.264034462765411
686,4.235629307308554
687,4.354993401299529
688,4.26588536766652
689,4.207008029861883
690,4.2426917797112065
691,4.216855241515456
692,4.074519979248624
693,4.154419163547662
694,4.2507348193215115
695,4.130797373786443
696,4.26344415561371
697,4.215245425453773
698,4.16263533685453
699,4.390694771026918
