pdb_file,average_perplexity
100,4.326125355184054
101,4.142087823433462
102,4.005200415941361
103,4.211183686320101
104,4.1276585835000414
105,4.377362975276067
106,4.528049700289587
107,4.385159282999325
108,4.267809004289329
109,4.184091698991127
110,4.518446705626377
111,4.454817655404968
112,4.412111561958272
113,4.440020924313836
114,4.41363856320758
115,4.276826958466492
116,4.298486022772589
117,4.32060376987166
118,4.325333837269185
119,4.098733361617068
120,4.264156380243846
121,4.293954445771456
122,4.320895391829447
123,4.303259922268341
124,4.194098339068422
125,4.476858109020949
126,4.393579497854457
127,4.311285409820737
128,4.178193121583165
129,4.288121271642986
130,4.4481947604261105
131,4.3520423104550385
132,4.286879368328289
133,4.3165319072442
134,4.198066820099888
135,4.389696513110205
136,4.5509118735056715
137,4.260600549320136
138,4.249146083396164
139,4.383406676621992
140,4.356707482530111
141,4.323128278016088
142,4.309365585586888
143,4.230615470579661
144,4.114982425595644
145,4.236142067932126
146,4.246040785927315
147,3.992660312238551
148,4.408914199590797
149,4.1255584238084655
150,4.052128162066962
151,4.278017277616188
152,4.120305773980227
153,4.31904751652703
154,4.141733752555184
155,4.199193813718974
156,4.210302867377256
157,4.1902824075053555
158,4.249654823821061
159,4.080691713891478
160,4.077680535922597
161,4.275404817900086
162,4.197701206155277
163,4.424406024621931
164,4.358590041699971
165,4.410419842596171
166,4.230836366402865
167,4.305316943885317
168,4.413943455761063
169,4.340880678173779
170,4.160152314913724
171,4.447537783361683
172,4.315287198779995
173,4.1843358976321445
174,4.238594453380601
175,4.204828225071702
176,4.094484481782739
177,4.33750847432803
178,4.248422370812151
179,4.271519500760206
180,4.294439587036321
181,4.198631075238129
182,4.4240146619189
183,4.215030483930644
184,4.2727468189373266
185,4.291905868953761
186,4.351074971125244
187,4.356041764492201
188,4.2845903000320025
189,4.229860393782334
190,4.227274968776054
191,4.159638591464826
192,4.099267317269888
193,4.231945628741948
194,4.261633193061443
195,4.173986440345825
196,4.270438447883158
197,4.251123703222297
198,4.277942807354354
199,4.243163304193691
