pdb_file,average_perplexity
200,4.354552774784369
201,4.450817268207382
202,4.252159868003834
203,4.194646995223319
204,4.23418133550922
205,4.306846648222629
206,4.125505535468918
207,4.26774680282701
208,4.239452960516717
209,4.164419714099432
210,4.115216072756676
211,4.126969341669863
212,4.21715909962342
213,4.160766128637757
214,4.131385243874864
215,4.0863084135765035
216,4.3643016658230165
217,4.207761436524029
218,4.2995512840323125
219,4.144179294481342
220,4.336559134525906
221,4.0931869830379
222,4.267363252463377
223,4.240198855939572
224,4.227355284067755
225,4.173056304060979
226,4.2727250707923385
227,4.089687489803159
228,4.359383836405167
229,4.24018239712329
230,4.096894021118646
231,4.180443671710223
232,4.39937271307129
233,4.364644320118791
234,4.378029168280295
235,4.139811992452284
236,4.178613385831795
237,4.364559822406805
238,4.182341857275118
239,4.145483709445228
240,4.358026520459515
241,4.345230616470879
242,4.382513331532432
243,4.02577486774071
244,4.280112201224436
245,4.436361311015972
246,4.404533653982105
247,4.281629081797014
248,4.293636641379707
249,4.221972116302291
250,4.364459456115121
251,4.155213253857914
252,4.23206957117053
253,4.347511170515058
254,4.3795782594670785
255,4.322464749979218
256,4.1359498796694325
257,4.001167177977112
258,4.361805739193138
259,4.208644164850609
260,4.243877126945768
261,4.148023043187467
262,4.104761818898265
263,4.381821529755886
264,4.140543266489912
265,4.143417229906857
266,4.227050817026548
267,4.101328200554235
268,4.0199438560009515
269,4.196370999124226
270,4.186525594532323
271,4.120048906046805
272,4.22146598356816
273,4.260840357647021
274,4.121893998582068
275,3.9999464388048076
276,4.179862885361712
277,4.2707498668409745
278,4.096076200711664
279,4.269786816899512
280,4.21235650316814
281,4.249571351455987
282,4.363518802688531
283,4.244341318943539
284,4.203971915397897
285,4.1336511246246594
286,4.369512912223786
287,4.326808074081651
288,4.217348559492977
289,4.331968784723366
290,4.395919537478769
291,4.362780249382956
292,4.185335554013563
293,4.2676976770067
294,4.120828811982499
295,4.185283673304412
296,4.389221939916369
297,4.130598855588045
298,4.217311977693149
299,4.134286959669917
